,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,DM2SL,DM2MSL,DMZMSL,DM1SL,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1
"1957-2",15.81,2.7930000000000001,4.0999999999999996,4.1669999999999998,3,0.067000000000000004,3.6269999999999998,#N/A,#N/A,#N/A,#N/A,0.43428565600000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.8198342599999999,#N/A,-2.6709999999999998,0.224,#N/A,#N/A,#N/A,#N/A
"1957-3",15.904,2.371,4.2329999999999997,3.8330000000000002,3.2330000000000001,0.23300000000000001,3.927,#N/A,#N/A,#N/A,#N/A,0.299840834,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9587081500000001,#N/A,-0.42199999999999999,0.29999999999999999,#N/A,#N/A,#N/A,#N/A
"1957-4",15.914999999999999,0.27700000000000002,4.9329999999999998,4.4000000000000004,3.2530000000000001,0.02,3.633,#N/A,#N/A,#N/A,#N/A,-0.30336971099999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.024371437999999999,#N/A,-2.0939999999999999,-0.29399999999999998,#N/A,#N/A,#N/A,#N/A
"1958-1",16.087,4.2999999999999998,6.2999999999999998,7.4000000000000004,1.863,-1.3899999999999999,3.04,#N/A,#N/A,#N/A,#N/A,1.377422747,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.458875897,#N/A,4.0229999999999997,-0.59299999999999997,#N/A,#N/A,#N/A,#N/A
"1958-2",16.134,1.167,7.367,7.4000000000000004,0.93999999999999995,-0.92300000000000004,2.923,#N/A,#N/A,#N/A,#N/A,4.7266253499999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.716584932,#N/A,-3.133,-0.11700000000000001,#N/A,#N/A,#N/A,#N/A
"1958-3",16.231999999999999,2.4220000000000002,7.3330000000000002,6.7000000000000002,1.323,0.38300000000000001,3.5,#N/A,#N/A,#N/A,#N/A,2.0072410110000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.407382047,#N/A,1.2549999999999999,0.57699999999999996,#N/A,#N/A,#N/A,#N/A
"1958-4",16.309000000000001,1.893,6.367,5.7000000000000002,2.1629999999999998,0.83999999999999997,3.7999999999999998,#N/A,#N/A,#N/A,#N/A,0.72898467600000005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.0599502569999999,#N/A,-0.52900000000000003,0.29999999999999999,#N/A,#N/A,#N/A,#N/A
"1959-1",16.347000000000001,0.93100000000000005,5.8330000000000002,6.7999999999999998,2.5699999999999998,0.40699999999999997,3.9900000000000002,#N/A,#N/A,#N/A,#N/A,2.285425483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.082061129999999996,#N/A,-0.96199999999999997,0.19,#N/A,#N/A,#N/A,#N/A
"1959-2",16.372,0.61099999999999999,5.0999999999999996,5.1669999999999998,3.0830000000000002,0.51300000000000001,4.2569999999999997,5.9314840540000002,5.6582099069999998,5.6582099069999998,3.4302258810000001,2.0983587340000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2297057330000001,#N/A,-0.32000000000000001,0.26700000000000002,#N/A,#N/A,#N/A,#N/A
"1959-3",16.434999999999999,1.536,5.2670000000000003,4.9000000000000004,3.577,0.49399999999999999,4.5030000000000001,5.394766422,5.4384002589999998,5.4384002589999998,2.8362208170000001,1.2340112560000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.35664247799999999,#N/A,0.92500000000000004,0.246,#N/A,#N/A,#N/A,#N/A
