,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"31-1",0.1268028691250607,0.13430174752464627,0.34452575625227977,0.38191809592954462,0.63425617883161134,0.68930594198045736,0.03231480891763213,0.034225844718722975,0.32063699895829345,0.32196562845773646,0.53929622919933262,0.55523478792367675,-0.14879310400260434,-0.12993206661643047,-0.36451280833889144,-0.27834909120216833,-0.34921519377892413,-0.21263142302183388,-0.14879310400260434,-0.12993206661643047,-0.37579301341370552,-0.28558803633227536,-0.35402692530481039,-0.20486856637664502
"32-1",0.12680286912506067,0.13430174752464627,0.34665088851151415,0.38359377810146378,0.63273569473729019,0.68796283878267195,0.032314808917632151,0.034225844718722961,0.31972992834749869,0.32108805832374676,0.53908684644485161,0.55454125079270322,-0.14879310400260434,-0.12993206661643047,-0.36729262665788831,-0.28161960240269718,-0.35094844271836895,-0.21399834880596078,-0.14879310400260434,-0.12993206661643047,-0.37873894169859518,-0.28806939749762794,-0.3529135830966178,-0.2036001830729422
"33-1",0.1268028691250607,0.13428214439811184,0.34572060610659094,0.38234070186719588,0.63218528473337132,0.68768486939919549,0.032314808917632158,0.034220849001413721,0.31926996531076951,0.32073468130694549,0.53964145124602259,0.55525530494048869,-0.14879310400260437,-0.12981444092288777,-0.36932024462488905,-0.28300104085073219,-0.35112581607992388,-0.21360492056154823,-0.14879310400260437,-0.12993206661643047,-0.3791050122741258,-0.28803787679944259,-0.35149234637275634,-0.2027613521070607
"34-1",0.12680286912506067,0.13430174752464627,0.34461957498360041,0.38143673409078538,0.63139210433475113,0.68755048399882657,0.032314808917632158,0.034225844718722948,0.31995516237917532,0.32135056572733767,0.54060545674104388,0.55687559722381264,-0.14879310400260434,-0.12993206661643047,-0.37087667260101309,-0.28357529541132875,-0.35065221462823559,-0.21218025212183003,-0.14879310400260434,-0.12993206661643047,-0.3770283247460996,-0.28629172431029093,-0.34978010379782659,-0.20226715174519999
"35-1",0.1268028691250607,0.1343017475246463,0.34452118711027868,0.381495105475394,0.63095983178307558,0.68723621013687242,0.032314808917632137,0.034225844718722975,0.32048942878590947,0.32181786060471218,0.54135974722544722,0.5582510079744607,-0.14879310400260434,-0.12993206661643047,-0.37184301372193695,-0.28372142454608773,-0.34965010580461786,-0.21021456544001949,-0.14879310400260434,-0.12993206661643047,-0.3756723151899829,-0.28528528687183052,-0.34857156998091854,-0.20194771468243217
"36-1",0.12680286912506067,0.1343017475246463,0.34390771431867639,0.38088229946053964,0.63054912955225006,0.68713268988654053,0.03231480891763213,0.034225844718722975,0.32069716075492249,0.32201238677400507,0.54162142655068213,0.55883473427837516,-0.14879310400260437,-0.12993206661643047,-0.37247689748468626,-0.28373918201353243,-0.34906248539497242,-0.20882018886901269,-0.14879310400260437,-0.12993206661643047,-0.37491041858369012,-0.28458943530813796,-0.34786797334245873,-0.20185983629717874
"37-1",0.1268028691250607,0.1343017475246463,0.34401025887054837,0.38105476313184311,0.63048089847464905,0.68715706555839362,0.032314808917632123,0.034225844718722982,0.3209338083351847,0.32222017595648178,0.54188674163437967,0.55941083465137753,-0.14879310400260432,-0.1299320666164305,-0.37295008942703378,-0.28375001087103413,-0.3485806185498338,-0.20748984934393941,-0.14879310400260432,-0.1299320666164305,-0.37438423075213523,-0.28422426205845996,-0.347437438567471,-0.20189342774477054
"38-1",0.12680286912506067,0.13430174752464627,0.34394778878815951,0.38097006062799299,0.63030109688554181,0.68714491226714769,0.03231480891763213,0.034225844718722975,0.32094606873316811,0.32223147936739516,0.54194080097895658,0.55954997369460169,-0.14879310400260432,-0.1299320666164305,-0.37322555521763551,-0.28382381250319866,-0.34845250317270204,-0.20718924707800823,-0.14879310400260432,-0.1299320666164305,-0.37430822941377861,-0.28414911228954903,-0.34721534934973786,-0.2018976893475781
"39-1",0.1268028691250607,0.13430174752464627,0.34382928592788503,0.38088354227614585,0.63017867322998555,0.68725399044347391,0.03231480891763213,0.034225844718722982,0.32100193448279363,0.32227764612768123,0.54191592233600805,0.55973830204410602,-0.14879310400260429,-0.12993206661643047,-0.3733623942037958,-0.28374340447059621,-0.34796067168433781,-0.20627971986830793,-0.14879310400260429,-0.12993206661643047,-0.37411425145594551,-0.28401487658776525,-0.34700338773080319,-0.20212607831560142
"40-1",0.1268028691250607,0.13430174752464627,0.34381584121833408,0.38088445801817272,0.63013766081659173,0.68715541576467976,0.032314808917632117,0.034225844718722982,0.32102226441782172,0.32229266025880587,0.54194726679543648,0.55975076823419023,-0.14879310400260426,-0.12993206661643047,-0.37342513736660965,-0.28383889497119702,-0.34816184993314891,-0.20647822054817078,-0.14879310400260426,-0.12993206661643047,-0.37408142407221656,-0.28399335633657674,-0.34691901039200651,-0.20200574310087482
"41-1",0.1268028691250607,0.1343017475246463,0.34394555919580816,0.38097956767683494,0.63007393803906908,0.68717890772067902,0.03231480891763211,0.034225844718722968,0.32099618593217133,0.32227007352629905,0.54195564841888499,0.55977783635050804,-0.14879310400260426,-0.12993206661643047,-0.37358192162405435,-0.28391088656716679,-0.34817974850557454,-0.20629369593768199,-0.14879310400260426,-0.12993206661643047,-0.37418356003783304,-0.28407896330927629,-0.34683956291768958,-0.20201957332753931
"42-1",0.12680286912506067,0.1343017475246463,0.34381181843351893,0.38086523099915104,0.63008635844979877,0.68732918706509671,0.03231480891763213,0.034225844718722975,0.32101603665798684,0.32228687524930349,0.54194033106767781,0.55987722435319376,-0.14879310400260426,-0.12993206661643047,-0.3736851348887727,-0.28387096259642397,-0.34795112613435464,-0.20602595188238454,-0.14879310400260426,-0.12993206661643047,-0.37406425968569451,-0.28398537224744147,-0.34678283168284268,-0.20219879048080919
"43-1",0.12680286912506067,0.1343017475246463,0.34377370886230058,0.38083490085320137,0.63000307210538398,0.68725705976838314,0.03231480891763213,0.034225844718722975,0.32103086167249711,0.32230118778901123,0.54188652875835885,0.559871561873858,-0.14879310400260426,-0.12993206661643047,-0.37370425903602345,-0.28390435584042945,-0.34777435627169562,-0.20560545858492835,-0.14879310400260426,-0.12993206661643047,-0.37402266128654993,-0.28394826780495031,-0.34675072340195517,-0.2022606000083767
"44-1",0.12680286912506067,0.1343017475246463,0.34385582749334692,0.3808905576863022,0.62998527063914311,0.68720760963180672,0.032314808917632123,0.034225844718722989,0.32101326187146828,0.32228426072035221,0.54197064978816267,0.55989445538618965,-0.14879310400260426,-0.12993206661643047,-0.37372125449729521,-0.28391361048054475,-0.34784366988548449,-0.20575091845505356,-0.14879310400260426,-0.12993206661643047,-0.37409466656341539,-0.28400167613211863,-0.34668044595727754,-0.20210306713419715
"45-1",0.12680286912506067,0.1343017475246463,0.34379304596895316,0.38083531084034211,0.63002599434770434,0.68742305371008017,0.032314808917632123,0.034225844718722982,0.32103101812735624,0.32229893692440115,0.54185508520763337,0.5598956895988122,-0.14879310400260426,-0.12993206661643047,-0.37381781177858042,-0.2838992855339062,-0.34761211931781788,-0.20543469827652669,-0.14879310400260426,-0.12993206661643047,-0.37402722267917743,-0.28395200657679548,-0.34674860875457714,-0.2024368748149962
"46-1",0.12680286912506067,0.1343017475246463,0.34382667314124932,0.38086447379160071,0.62998880439502702,0.68730649244301834,0.032314808917632137,0.034225844718722982,0.32102160870228558,0.32229288867849298,0.54191097980454161,0.5598988832598526,-0.14879310400260426,-0.12993206661643047,-0.37377964068036168,-0.28391955880440251,-0.34770252986760819,-0.20554475607956885,-0.14879310400260426,-0.12993206661643047,-0.37406220884627528,-0.28397536282848479,-0.34669881816779374,-0.20225909989861676
"47-1",0.12680286912506067,0.1343017475246463,0.34383203044390553,0.38086846165370591,0.62997286562122601,0.68730434932311946,0.03231480891763213,0.034225844718722982,0.32102295628465849,0.32229285497101212,0.54189704735628086,0.55989386791612961,-0.14879310400260426,-0.12993206661643047,-0.37381283756228045,-0.28394180084720461,-0.34752968012984775,-0.20542435849416577,-0.14879310400260426,-0.12993206661643047,-0.37406214391799542,-0.28397600665510936,-0.34671027562889856,-0.20230126526737333
"48-1",0.1268028691250607,0.13430174752464627,0.34383308952784064,0.38086749996906821,0.62998379291485995,0.6873201844028205,0.032314808917632123,0.034225844718722982,0.3210196686495973,0.32229030533761449,0.54189105804348459,0.55989858284946881,-0.14879310400260426,-0.12993206661643047,-0.37380738956819903,-0.28392808805480585,-0.34741977609255598,-0.205293785206144,-0.14879310400260426,-0.12993206661643047,-0.37406631324324502,-0.28397903859702989,-0.34672392528551654,-0.20232734493338911
"49-1",0.12680286912506067,0.1343017475246463,0.34379077836847016,0.3808374027235677,0.63005631166384035,0.68741821979237561,0.03231480891763213,0.034225844718722975,0.32102447439269205,0.32229465132872115,0.54190004102028044,0.55989370833044694,-0.14879310400260426,-0.12993206661643047,-0.37378626437646612,-0.28390052214788297,-0.34752731004902149,-0.20567504695291644,-0.14879310400260426,-0.12993206661643047,-0.37403407154627222,-0.28395632617196526,-0.34680047311194862,-0.20237787857072598
"50-1",0.12680286912506067,0.1343017475246463,0.34377686371867744,0.38082848069692754,0.63012994795304134,0.68756583491209577,0.03231480891763213,0.034225844718722975,0.3210258070405056,0.32229663572127237,0.54184671404452345,0.55984636175345248,-0.14879310400260426,-0.12993206661643047,-0.37371744317032635,-0.28385830225734854,-0.34765477071945039,-0.20606448710532671,-0.14879310400260426,-0.12993206661643047,-0.37402847074611079,-0.28395200657679565,-0.3469032345165548,-0.20250463669029281
"51-1",0.12680286912506067,0.13430174752464633,0.34378687590443224,0.38085254573785976,0.63006144804237285,0.68730230532530479,0.03231480891763213,0.034225844718722982,0.32102342868509381,0.32229341163559683,0.54189225512565586,0.55982400743801963,-0.14879310400260426,-0.12993206661643047,-0.37361068882936399,-0.28386164697936977,-0.34774492053748252,-0.20619236956356965,-0.14879310400260426,-0.12993206661643047,-0.37404586203949591,-0.28397014793249387,-0.34685189480671685,-0.20223369594989721
"52-1",0.12680286912506067,0.1343017475246463,0.34384645605677677,0.38089373793243997,0.63004012763712147,0.68711928421561952,0.03231480891763213,0.034225844718722975,0.32101619978976753,0.32228753172625668,0.54197823945699675,0.55983260084150321,-0.14879310400260429,-0.12993206661643047,-0.37360045580570367,-0.28390071669070494,-0.34784434306023398,-0.20609952734777673,-0.14879310400260429,-0.12993206661643047,-0.37409477151401288,-0.28400116071405634,-0.34678158951417681,-0.20196906138206772
"53-1",0.12680286912506067,0.1343017475246463,0.34385932526729518,0.38089535528631757,0.63012856218095759,0.68727065761568296,0.03231480891763213,0.034225844718722982,0.32101668426343488,0.32228639646418844,0.54195976496522813,0.55983090725346973,-0.14879310400260429,-0.12993206661643047,-0.37374985383458253,-0.2839424457337823,-0.34774608600828605,-0.20589657917749962,-0.14879310400260429,-0.12993206661643047,-0.3740917609360197,-0.28400165782518388,-0.34688788293697825,-0.20214667275262296
