,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"31-1",0.016087242836625843,0.018804434833450682,0.15564757453849526,0.30084441178855892,0.31767197785993795,0.52518042916230412,0.11865481190248696,0.13869602770064549,0.69383795089864753,0.94410864315333631,1.1498925248244778,1.5115730359227388,-0.15255789287863236,-0.090487620669789368,-0.62450650247204287,-0.24744268767337491,-0.65999747097805161,-0.12641435360049977,-0.15255789287863236,-0.090487620669789368,-0.63545512935159709,-0.24857551927330851,-0.69807478549353497,-0.099923654997783315
"32-1",0.016087242836625829,0.018804434833450682,0.15906630569027314,0.30151574203730891,0.31698553892812537,0.52093542676328142,0.11865481190248696,0.13869602770064549,0.69466418417428277,0.94526788036123588,1.1618730196851452,1.511036060204654,-0.15255789287863236,-0.090487620669789395,-0.61790817533388065,-0.24734903770341085,-0.66292942760849805,-0.13468337587110388,-0.15255789287863236,-0.090487620669789395,-0.63280270583297604,-0.24807455110616786,-0.69820515829486829,-0.10334708715974855
"33-1",0.016087242836625826,0.018804434833450696,0.15816804745223251,0.30157231335903723,0.3180834570577073,0.51991858846783723,0.11865481190248697,0.13869602770064549,0.68778586220685134,0.94273663704571375,1.1671326176887327,1.5089841820191898,-0.15255789287863236,-0.090487620669789381,-0.60903779759830856,-0.2433700967300336,-0.66944612745770382,-0.13761252709144731,-0.15255789287863236,-0.090487620669789381,-0.63278707456544359,-0.24779933208499977,-0.7001415908928843,-0.10539770057313497
"34-1",0.016087242836625826,0.01880443483345071,0.16515698702727083,0.30446553357985484,0.31157964323808607,0.51634151157101627,0.11865481190248697,0.13869602770064549,0.68821085428640127,0.94505739926600285,1.1362568214257611,1.4878121151128332,-0.15255789287863236,-0.090487620669789395,-0.59567235488259884,-0.24075811069739142,-0.63685475041246187,-0.11641431169744643,-0.15255789287863236,-0.090487620669789395,-0.62771074456533671,-0.24581612396169228,-0.70368747851790059,-0.10672395402215072
"35-1",0.016087242836625829,0.018804434833450699,0.17207621503329124,0.30514971443594768,0.33724250760127233,0.53206924423820223,0.11865481190248696,0.13869602770064551,0.70268538659182278,0.95170152818680598,1.1191095027803808,1.4836351490903721,-0.15255789287863236,-0.090487620669789215,-0.59221568755690246,-0.24468289650622299,-0.57080477342994329,-0.085173028519231253,-0.15255789287863236,-0.090487620669789215,-0.62148927765667428,-0.24492838964441344,-0.68632807630876491,-0.095578931779598614
"36-1",0.016087242836625829,0.018804434833450699,0.16572233620166094,0.30259063843687045,0.3727648640033856,0.54870737118822932,0.11865481190248697,0.13869602770064551,0.70153263409390254,0.9495616059767471,1.1682279286699013,1.5156478284763573,-0.15255789287863236,-0.090487620669789243,-0.60229167219265611,-0.2466731433866467,-0.53869941863140469,-0.071451917670691215,-0.15255789287863236,-0.090487620669789243,-0.6258566865813513,-0.2466493206709171,-0.65478835480379427,-0.079660866525108787
"37-1",0.016087242836625822,0.01880443483345071,0.16129558656242807,0.30255308286435811,0.37383914525477913,0.55037147922589313,0.11865481190248696,0.13869602770064549,0.69546618369786384,0.94571782431996154,1.213579719696275,1.5437465414430089,-0.15255789287863236,-0.09048762066978927,-0.613573949089397,-0.24539191240136499,-0.53179806041350564,-0.071778955991082999,-0.15255789287863236,-0.09048762066978927,-0.63099973667228548,-0.24722971509499692,-0.64441068754521669,-0.075595077331631247
"38-1",0.016087242836625819,0.018804434833450717,0.15844065493858753,0.30012697037280239,0.38580273026643708,0.55092012660944356,0.11865481190248697,0.13869602770064549,0.66799689487347635,0.92972754521021472,1.2477995829973823,1.5539080115105646,-0.15255789287863236,-0.090487620669789243,-0.57291140883640357,-0.22382627977975908,-0.5369263647247865,-0.085559933921195291,-0.15255789287863236,-0.090487620669789243,-0.62962560447902005,-0.24711809394158435,-0.64504899194623522,-0.080954608645072673
"39-1",0.016087242836625826,0.018804434833450699,0.18498240095957941,0.31709712163249593,0.3911957717813313,0.54893754300781206,0.11865481190248696,0.13869602770064549,0.65277162138127565,0.92869935396908376,1.2657229929117302,1.5551387728625587,-0.15255789287863236,-0.090487620669789284,-0.50480141625200536,-0.19247290175587561,-0.54909838688221679,-0.096905924014158151,-0.15255789287863236,-0.090487620669789284,-0.61060379022439859,-0.23552079140103838,-0.65017327531864755,-0.086986214865234626
"40-1",0.016087242836625829,0.018804434833450696,0.22433258088423044,0.33175467075176179,0.38772697887552821,0.54315050864759484,0.11865481190248696,0.13869602770064549,0.71065180914749337,0.960398655034298,1.2685260169790644,1.5473154761897563,-0.15255789287863236,-0.090487620669789257,-0.4697470225139958,-0.18468887573782566,-0.56210247481215425,-0.10866032439014568,-0.15255789287863236,-0.090487620669789257,-0.57712449391265053,-0.22172820531694526,-0.65866298591424433,-0.093843008639253628
"41-1",0.016076490120198829,0.0187654692633792,0.22796176116779834,0.32961167483026205,0.38209489921828921,0.53612192280788518,0.11857550300176097,0.1384086290186923,0.76315459228363469,0.98442911718731585,1.258329447220379,1.5323377722493396,-0.15245592315159573,-0.090118103946178266,-0.46186369509868963,-0.19212019654549412,-0.57087080104799115,-0.11280504899719858,-0.15255789287863236,-0.090487620669789229,-0.56638408336693269,-0.2209728544606267,-0.66746739110751352,-0.099580986418975406
"42-1",0.01466564057263944,0.017802010772169512,0.22805175133141153,0.32950444776450116,0.37483241500765713,0.53682414419478774,0.10816948816202485,0.13130244014523001,0.7710818727476465,0.98731864965310012,1.2271727208005723,1.5212309256236907,-0.13907661158588722,-0.080981473214134236,-0.47798203468476053,-0.20014208547883844,-0.55338588765411734,-0.098815142509924334,-0.15255789287863236,-0.090487620669789215,-0.57321728359734636,-0.22472815142494268,-0.67088142815212337,-0.098170030437499237
"43-1",0.014110658781433515,0.017479271550265886,0.216498996575334,0.32581694592034877,0.38647033576162948,0.54611601508406027,0.10407610431038569,0.12892200975964901,0.75427116995471832,0.97887680896177431,1.2120154218698866,1.5228118223303653,-0.1338136306318346,-0.077920885632848338,-0.49946547458992985,-0.2037571054735732,-0.51617172400426303,-0.077435103492259891,-0.15255789287863236,-0.090487620669789257,-0.58349035068043431,-0.22782324487984915,-0.65867438432612935,-0.089647644678609556
"44-1",0.014480270591265337,0.017694209072829262,0.21220921075202698,0.32392239017690422,0.39899763412141215,0.55146404297832952,0.10680225323583625,0.13050732624734923,0.74969613834144544,0.97641342123900376,1.1909773467047891,1.51632849480586,-0.13731871844978061,-0.079959172483853563,-0.50677838507843098,-0.2081642335920964,-0.43436109869433537,-0.044666962876895151,-0.15255789287863236,-0.090487620669789229,-0.5868768416175314,-0.22961200607781956,-0.6408668422503947,-0.081950536371171001
"45-1",0.014838097397913757,0.017902430849391616,0.20761338890233944,0.32112703123557357,0.45103011148495803,0.57383354095332229,0.10944147941447468,0.13204310935094971,0.73932176173172925,0.9692972191475171,1.2298217509855829,1.53905013851878,-0.14071204720052766,-0.081933772843057529,-0.51156001335212986,-0.20739888169239712,-0.35850763288413762,-0.019470826895921028,-0.15255789287863236,-0.090487620669789229,-0.59066891296756618,-0.23132387115790953,-0.60107119372983775,-0.065502002121670802
"46-1",0.015111516957449507,0.018070263882306349,0.2036289932606849,0.32157859225251922,0.47912676017962152,0.58206046680547063,0.11145814235271986,0.13328099685931602,0.71739883795179615,0.96004155785044354,1.2827122714865979,1.5641805534678175,-0.14330492854745489,-0.083525360296353476,-0.49196032028531228,-0.19626205409725844,-0.29210714203209509,-0.0023882580826443539,-0.15255789287863236,-0.090487620669789257,-0.59181063187401217,-0.23049402015732118,-0.57025408925629728,-0.055719406969131122
"47-1",0.015146058339998823,0.018094231692489294,0.21860214854355245,0.3283157687008032,0.51834264378899686,0.59352596717596784,0.11171290951766309,0.13345777643788362,0.71169678575803408,0.95875130585849855,1.3388395905219153,1.5851875194876461,-0.14363248999427045,-0.083752650867867831,-0.45423237337542999,-0.1792557382558177,-0.23088061696922305,0.010267958693169203,-0.15255789287863236,-0.090487620669789243,-0.58029231390480862,-0.2248420485045064,-0.54438071715315628,-0.049903728829342534
"48-1",0.015529805019831172,0.018370027895715301,0.23141161812769631,0.33449102717618823,0.56047305891984511,0.60631150903965481,0.11454331312231576,0.13549196880692593,0.69095100823542355,0.95223755721846204,1.4175084764874526,1.6182810241465544,-0.14727162104170541,-0.08636807030644876,-0.37391097793578132,-0.14478526611537035,-0.20409552061002745,0.0012120354172873715,-0.15255789287863236,-0.090487620669789243,-0.56352122365497137,-0.216992264875362,-0.52157720787065487,-0.045775673336489166
"49-1",0.014513006478871389,0.017713210949468698,0.28587431284734671,0.35735804977258395,0.56732637281850973,0.59676247654334447,0.10704370359658512,0.1306474785482343,0.7370237341357101,0.97640861042228566,1.4308573959610029,1.6032200270769725,-0.13762915809971993,-0.080139370314538119,-0.29666708054389246,-0.11990220883567709,-0.14466190576467167,0.016291124651349031,-0.15255789287863236,-0.090487620669789229,-0.52345288062786954,-0.201061475461429,-0.51897125986605719,-0.054355085008400403
"50-1",0.014354000302386838,0.01762389959983135,0.30405909070700454,0.36479429962040316,0.62329047217676214,0.63587168218663626,0.10587092040721505,0.1299887440777226,0.7702176026686941,0.99378065879731037,1.4829237489552698,1.6264531614764097,-0.1361212771355596,-0.079292416523314091,-0.24137313508369859,-0.09762805859018861,-0.10317553601039681,0.02910010427545923,-0.15255789287863236,-0.090487620669789229,-0.49966554429858995,-0.19065559742907384,-0.49355669506815175,-0.042565420426414508
"51-1",0.013027038294953627,0.016923408381356437,0.33542662989885397,0.37801169179294103,0.62138273209268713,0.64003175147148927,0.096083635600693384,0.12482212512309068,0.80769635585305655,1.0120326715266237,1.5275799077031753,1.6498130913623736,-0.12353748450932324,-0.07264954643328099,-0.18690853286324019,-0.076875407187734321,-0.078544118953903133,0.027594893594523127,-0.15255789287863236,-0.090487620669789257,-0.47711649945232265,-0.18162400395782086,-0.4832231060902647,-0.040756725465947302
"52-1",0.0092346665599497228,0.015007871042513108,0.36639952963218564,0.39286526682400597,0.62551097967184643,0.65401271620724966,0.068112207590871998,0.11069368030872034,0.8623287830368056,1.0407852898659109,1.5712579802145188,1.6733402989046775,-0.087573817721905978,-0.054484199946500014,-0.16859094965381419,-0.073423627477031128,-0.07701340017260222,0.017034741616561572,-0.15255789287863236,-0.090487620669789201,-0.45746183388240941,-0.17293577502030238,-0.47826503018518834,-0.042573582080773165
"53-1",0.0090372538381517341,0.014901747330562841,0.35785368145735258,0.38612987916728114,0.62452146274838283,0.65803626427392437,0.066656148923145059,0.10991094275650393,0.84338345289979422,1.0255889743531557,1.6157868969902374,1.6978161993286502,-0.085701721355189275,-0.053477811838605359,-0.11598917858306745,-0.0411228342490167,-0.11167861789464539,-0.0092296631471791464,-0.15255789287863236,-0.090487620669789229,-0.45552814354212823,-0.17277236485229286,-0.48230671348761101,-0.048788677089259075
"54-1",0.0068657144149387667,0.013745494012750697,0.40727877931071116,0.42189191523714326,0.61323103855536254,0.64447355947866114,0.050639507388179794,0.10138275546363371,0.87907489858345977,1.0497356382596454,1.6606408700043438,1.7205685439946128,-0.065108666219972605,-0.042512876977439509,-0.076863707431925429,-0.0208565057655879,-0.2070170059041308,-0.061743074006235757,-0.15255789287863236,-0.090487620669789229,-0.42940538511571874,-0.15627280427370316,-0.50385507819175035,-0.06344582084123708
"55-1",0.0049374440230226411,0.012769950466636235,0.41046039231549403,0.423259648650399,0.58281402264117432,0.59573294299371871,0.036417147287476831,0.09418743074935991,0.90795641899796931,1.0720875301080333,1.6149496280215054,1.6837130494130315,-0.046822570157492548,-0.033261641739804788,-0.055202217164043832,-0.012698538766834952,-0.28605204873439355,-0.095745236141240975,-0.15255789287863236,-0.090487620669789132,-0.41714525372861194,-0.14910108794306234,-0.5524915075794532,-0.088552346974853077
"56-1",0.0053607481254754636,0.012996459845927753,0.42444849115474181,0.43398278079276492,0.55598957284321249,0.57625480182743194,0.039539314905891888,0.095858097877775064,0.94464632593808306,1.0946384993691705,1.5067044485003123,1.6117118098860359,-0.050836830560776834,-0.035409666356135412,-0.054145232743220292,-0.018612601819881291,-0.28698255969533526,-0.082961565623192873,-0.15255789287863236,-0.090487620669789132,-0.40884460972449249,-0.14679566532094318,-0.58552388401404509,-0.1022571014473625
"57-1",1.8720748597733038e-05,0.0093508027462405486,0.42448863549754634,0.43756332021445105,0.56227789059360023,0.58280456410470272,0.00013807878242998739,0.068968794234050904,0.9925132667153107,1.1161724779398747,1.4342640699818698,1.5653781246699208,-0.00083731788507976975,-0.00017753184856992887,-0.086585878860218735,-0.043666243015144657,-0.24174742862450777,-0.040060836516446346,-0.15255789287863236,-0.090487620669789326,-0.4099730202354836,-0.15174461642234829,-0.58018351324073181,-0.094200061424717596
"58-1",7.3632429333278516e-06,0.0093225633936885773,0.41072608562325452,0.41970239043054858,0.57109287737704262,0.59964720920981673,5.430913265361981e-05,0.068760509004609727,1.0194374201580463,1.1255667647905936,1.4243840717949499,1.5750932190818228,-0.00056951959513431303,-6.9826808612799215e-05,-0.18572585563322502,-0.092384066456813727,-0.19731955578512494,0.0025734045128571062,-0.15255789287863236,-0.090487620669789312,-0.43139855532015281,-0.16331366467312425,-0.55343910067691338,-0.069497167485666284
