,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1,PGR
1962-2,16.989,0.659793964,5.533,5.5,2.606666667,0.15,3.873333333,#N/A,3.631428571,3.38984127,#N/A,3.014444444,8.376457334,6.617122208,6.617122208,2.646296865,#N/A,#N/A,4.305433017,0.02923,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.509322506,1.2368254,-1.42,-0.144,-1.440850417,-0.26582497,2.076850417,-0.177231917,4.08167
1962-3,17.024,0.823214944,5.567,5.167,2.846666667,0.24,3.99,#N/A,3.739365079,3.496507937,#N/A,3.187777778,6.169200732,5.311949292,5.311949292,-0.363967268,#N/A,#N/A,2.772285148,0.03056,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.324610963,1.14428571,0.21,0.117,-0.071952482,0.035407196,0.917952482,-0.298484334,4.14217
1962-4,17.059,0.821524216,5.533,5.033,2.923333333,0.076,3.903333333,#N/A,3.599672131,3.363442623,#N/A,2.993606557,7.932165271,7.524229379,7.524229379,2.178852414,#N/A,#N/A,3.958128656,0.032,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.036141604,0.98116667,-0.025,-0.087,-0.300408803,-0.837678902,1.121408803,-0.141616021,4.17908
1963-1,17.134,1.754747937,5.767,6.6,2.966666667,0.044,3.893333333,#N/A,3.638852459,3.401639344,#N/A,3.027868852,8.830218901,8.270132008,8.270132008,4.143248032,#N/A,#N/A,4.442583518,0.0282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.997086246,0.93885246,0.933,-0.01,0.70237405,-0.14293903,1.05162595,-0.824423181,4.18481
1963-2,17.164,0.699749435,5.733,5.767,2.963333333,-0.004,3.963333333,#N/A,3.754444444,3.546349206,#N/A,3.141746032,8.604024147,7.499624873,7.499624873,3.657066393,#N/A,#N/A,5.256889691,0.02626,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.940278345,1.01111111,-1.055,0.07,-1.119335875,-0.102951975,1.818335875,-0.819308077,4.23404
1963-3,17.187,0.535646786,5.5,5.2,3.33,0.367,4.033333333,#N/A,3.9109375,3.78015625,#N/A,3.52609375,8.040648183,6.842887142,6.842887142,4.06363919,#N/A,#N/A,5.44484993,0.02661,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.164291542,0.73078125,-0.164,0.07,-0.424305627,0.945176953,0.959305627,-0.772005439,4.26293
1963-4,17.326,3.221991749,5.567,5.1,3.453333333,0.123,4.12,#N/A,4.006721311,3.939180328,#N/A,3.726885246,7.67764673,6.581938276,6.581938276,3.848706709,#N/A,#N/A,5.407820035,0.02629,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.258586238,0.68770492,2.685,0.087,2.282998166,-0.494683064,0.937001834,0.247274834,4.30616
1964-1,17.381,1.267756845,5.467,6.167,3.463333333,0.01,4.18,#N/A,4.082622951,4.055737705,#N/A,3.830819672,6.628491214,6.295923735,6.295923735,2.603046063,#N/A,#N/A,5.038806049,0.02408,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.76252493,0.72770492,-1.953,0.06,-1.841211062,0.950514558,3.108211062,-0.168988979,4.27113
1964-2,17.421,0.919487791,5.2,5.333,3.49,0.027,4.2,#N/A,4.075,4.0675,#N/A,3.86140625,6.784332902,6.445721493,6.445721493,2.758037214,#N/A,#N/A,5.556464138,0.0212,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.765458685,0.71796875,-0.348,0.02,-0.672963488,-0.005997745,1.591963488,0.813744826,4.31975
1964-3,17.49,1.581165589,5,4.733,3.456666667,-0.033,4.193333333,#N/A,4.05203125,3.95515625,#N/A,3.765625,8.934911313,8.182103465,8.182103465,6.47511477,#N/A,#N/A,6.0490723,0.02373,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.238463215,0.756875,0.684,-0.007,0.291398419,0.463417554,1.311601581,0.838583317,4.32764
1964-4,17.57,1.825445267,4.967,4.533,3.576666667,0.12,4.173333333,#N/A,4.067377049,4.047213115,#N/A,3.933770492,8.108170046,7.8823661,7.8823661,5.205782965,#N/A,#N/A,5.649026478,0.02291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.468369493,0.63114754,0.198,-0.02,-0.105114974,-0.762636581,1.906114974,1.305996362,4.28791
1965-1,17.658,1.998414512,4.9,5.433,3.976666667,0.396,4.203333333,#N/A,4.133278689,4.08295082,#N/A,4.01295082,7.916093936,6.963718201,6.963718201,2.991910895,#N/A,#N/A,5.070729296,0.02247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.779321553,0.25016393,0.219,0.03,0.001382321,1.296432082,2.018617679,0.579705849,4.37816
1965-2,17.739,1.830666811,4.667,4.767,4.08,0.104,4.206666667,#N/A,4.149365079,4.102063492,#N/A,4.018253968,6.606133944,5.892682915,5.892682915,2.311667941,#N/A,#N/A,4.67982023,0.0193,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.972597759,0.1484127,-0.191,0.004,-0.50073853,0.244213703,2.32973853,1.820817063,4.26267
1965-3,17.808,1.552875611,4.367,4.167,4.076666667,-0.004,4.246666667,#N/A,4.20171875,4.1634375,#N/A,4.08578125,7.726209724,6.906833925,6.906833925,4.58363927,#N/A,#N/A,5.530219863,0.02148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.104154208,0.1984375,-0.3,0.04,-0.666963295,1.217489836,2.195963295,1.99506723,4.38137
